Brand,Model,Year,Mileage,Condition,Price,Number of Cylinders,Engine Capacity,Ratings,Color
Toyota,Sienna,2004,171805,Locally Used, 3215000,6,, 3.40,Blue
Lexus,ES 350,2013,77300,Locally Used, 7430000,6,3000.0, 3.40,black
Ford,Edge,2012,93576,Foreign Used, 7580000,6,2000.0, 4.50,Blue
Honda,Pilot,2012,98535,Foreign Used, 6780000,6,2500.0, 4.50,Grey
Honda,Crosstour,2010,153724,Foreign Used, 6330000,4,2000.0, 4.50,Grey
Mercedes-Benz,C 300,2011,70721,Foreign Used, 7330000,6,1500.0, 4.40,White
Kia,Sorento,2007,203306,Locally Used, 1615000,6,1500.0, 3.40,Silver
Mercedes-Benz,C 300,2010,39260,Foreign Used, 7515000,6,3500.0, 4.40,White
Mercedes-Benz,C 300,2012,40226,Foreign Used, 7515000,6,3500.0, 4.00,Silver
Lexus,ES 350,2011,163562,Foreign Used, 7515000,6,3500.0, 4.40,White
Toyota,Corolla,2005,45755,Foreign Used, 3915000,4,1008.0, 4.00,Silver
Toyota,Avalon,2014,65235,Foreign Used, 11015000,6,3500.0, 4.00,black
Toyota,Camry,2016,116761,Foreign Used, 11515000,6,6000.0, 4.20,black
Toyota,Sienna,2006,121556,Foreign Used, 5015000,6,3000.0, 4.00,gold
Toyota,Highlander,2009,185657,Locally Used, 5730000,6,3500.0, 3.40,wine
Lexus,RX 350,2009,209823,Foreign Used, 7530000,6,3500.0, 4.20,Blue
Lexus,ES 350,2012,155396,Foreign Used, 7615000,6,6000.0, 4.20,White
Toyota,Corolla,2004,96000,Foreign Used, 3715000,4,1000.0, 4.30,Silver
Ford,Edge,2013,82592,Foreign Used, 5530000,6,, 4.50,Silver
Toyota,Camry,2007,103360,Foreign Used, 4730000,4,2500.0, 4.20,beige
Toyota,Camry,2003,11903,Foreign Used, 3495000,6,5900.0, 4.50,Green
Toyota,Sienna,2012,62727,Foreign Used, 7830000,6,, 4.50,Blue
Toyota,Camry,2011,73281,Foreign Used, 4930000,4,2000.0, 4.00,black
Kia,Optima,2009,229442,Foreign Used, 2715000,4,1000.0, 4.00,Grey
Toyota,Camry,2011,88569,Foreign Used, 4930000,4,2000.0, 4.00,black
Honda,Accord,2009,188758,Foreign Used, 3840000,4,5900.0, 4.40,citrine brown metallic finish
Lexus,RX 350,2012,82205,Foreign Used, 13830000,6,1000.0, 4.30,Red
Lexus,GX 460,2014,51221,Foreign Used, 26730000,6,1000.0, 4.40,White
Honda,Pilot,2011,78356,Foreign Used, 8830000,6,1000.0, 4.30,black
Toyota,Sienna,2008,158658,Foreign Used, 5030000,6,3500.0, 4.00,White
Toyota,Camry,2013,89260,Foreign Used, 6915000,4,, 4.40,black
Toyota,Corolla,2004,76961,Foreign Used, 3660000,4,1800.0, 4.40,Grey
Toyota,Corolla,2010,125111,Foreign Used, 4730000,4,, 4.50,Red
Toyota,Camry,2011,131556,Foreign Used, 4630000,6,3000.0, 4.50,black
Honda,Pilot,2011,207437,Foreign Used, 6030000,6,3500.0, 4.10,wine
Toyota,Camry,2014,89543,Foreign Used, 7030000,4,2500.0, 4.40,black
Lexus,GX 460,2014,138876,Foreign Used, 26815000,8,4000.0, 4.00,Grey
Mercedes-Benz,GLK 350,2011,197488,Foreign Used, 9730000,6,1000.0, 4.10,black
Lexus,GX 460,2013,166858,Foreign Used, 17515000,6,1000.0, 4.20,gold
Toyota,Corolla,2016,69000,Foreign Used, 7830000,4,1000.0, 4.40,Red
Toyota,Camry,2003,100427,Foreign Used, 3330000,4,2400.0, 4.30,Silver
Mercedes-Benz,C 300,2015,97018,Foreign Used, 15030000,4,4000.0, 4.20,Grey
Acura,MDX,2007,209929,Foreign Used, 5030000,6,3700.0, 4.00,Grey
Toyota,Highlander,2004,95436,Foreign Used, 5480000,6,1500.0, 4.50,gold
Mercedes-Benz,ML 350,2015,112339,Foreign Used, 15330000,6,3000.0, 4.30,White
Lexus,RX 350,2017,31446,Foreign Used, 25515000,6,3500.0, 4.40,Silver
Toyota,4-Runner,2011,173630,Foreign Used, 12530000,6,1000.0, 4.10,White
Mercedes-Benz,GLA 250,2016,73571,Foreign Used, 17030000,6,1000.0, 4.30,black
Toyota,Camry,2013,28191,Foreign Used, 8030000,6,1000.0, 4.30,Grey
Toyota,Highlander,2016,158752,Foreign Used, 17615000,6,, 4.20,Grey
Mercedes-Benz,GLK 350,2010,164612,Foreign Used, 8515000,6,, 4.40,Silver
Toyota,Highlander,2015,58566,Foreign Used, 15730000,6,1000.0, 4.40,beige
Toyota,Sienna,2012,97852,Foreign Used, 6700000,6,2500.0, 4.00,Silver
Toyota,RAV 4,2007,86004,Foreign Used, 5830000,4,1000.0, 4.20,Silver
Hyundai,Sonata,2014,114569,Foreign Used, 6530000,4,2400.0, 4.40,Red
Hyundai,Santa Fe,2014,96826,Locally Used, 6215000,4,1000.0, 3.40,Grey
Toyota,Corolla,2003,106561,Foreign Used, 3730000,4,4000.0, 4.40,Silver
Toyota,Corolla,2006,18522,Foreign Used, 4030000,4,4000.0, 4.30,gold
